STT;Tên đầy đủ;Mã số doanh nghiệp;Sàn niêm yết;Mã chứng khoán
1249;CTCP Cấp nước Tân Hòa;0310350068;UPCOM;THW
1250;CTCP Tổng công ty Tín Nghĩa;3600283394;UPCOM;TID
1251;CÔNG TY CỔ PHẦN TIE;0301173454;UPCOM;TIE
1252;CTCP Tập Đoàn Đầu Tư Thăng Long;0101164614;HNX;TIG
1253;Công ty tài chính cổ phần Tín Việt;0102766770;UPCOM;TIN
1254;CTCP Phát triển khu công nghiệp Tín Nghĩa;3600964611;HOSE;TIP
1255;CTCP Gang Thép Thái Nguyên;4600100155;UPCOM;TIS
1256;CTCP SXKD XNK DV và DT Tân Bình (Tanimex);0301464904;HOSE;TIX
1257;CTCP Dịch vụ vận tải và thương mại;0200387594;HNX;TJC
1258;CÔNG TY CỔ PHẦN BAO BÌ TÂN KHÁNH AN;2900741212;UPCOM;TKA
1259;Công ty Cổ phần Xây dựng và Kinh doanh Địa ốc Tân Kỷ;0301725747;UPCOM;TKC
1260;CTCP Công nghiệp Tung Kuang;3600254361;HNX;TKU
1261;Tổng Công ty xây dựng Thủy lợi 4 - CTCP;0300546537;UPCOM;TL4
1262;Công ty cổ phần Viễn thông Thăng Long;0500447117;Chưa niêm yết và chưa Upcom;TLC
1263;CTCP Đầu tư xây dựng và phát triển đô thị Thăng Long;0500383583;HOSE;TLD
1264;CTCP Tập đoàn Thiên Long;0301464830;HOSE;TLG
1265;CTCP Tập đoàn Thép Tiến Lên;3600512830;HOSE;TLH
1266;Công Ty Cổ Phần May Quốc Tế Thắng Lợi;0305132089;UPCOM;TLI
1267;Tổng công ty Thương mại Xuất Nhập khẩu Thanh Lễ - CTCP;3700146458;UPCOM;TLP
1268;CTCP Viglacera Thăng Long;2500224026;UPCOM;TLT
1269;CÔNG TY CỔ PHẦN KINH DOANH THAN MIỀN BẮC- VINACOMIN;0100100689;HNX;TMB
1270;CTCP TM XNK Thủ Đức;0301444626;HNX;TMC
1271;CTCP Kim loại màu Thái Nguyên - Vimico;4600100003;UPCOM;TMG
1272;CTCP Thủy điện Thác Mơ;3800311306;HOSE;TMP
1273;Công Ty Cổ Phần Transimex;0301874259;HOSE;TMS
1274;CÔNG TY CỔ PHẦN Ô TÔ TMT;0100104563;HOSE;TMT
1275;CTCP Tổng hợp Gỗ Tân Mai;3600254266;UPCOM;TMW
1276;CTCP Vicem Thương mại xi măng;0100105694;UPCOM;TMX
1277;Công ty Cổ phần ROX Key Holdings;0106673358;HOSE;TN1
1278;Công ty cổ phần TM-XNK Thiên Nam;0301172041;UPCOM;TNA
1279;CTCP Thép Nhà Bè - VNSTEEL;0305393838;UPCOM;TNB
1280;Công ty Cổ phần Cao su Thống Nhất;3500100424;HOSE;TNC
1281;CTCP Đầu tư và Thương mại TNG;4600305723;HNX;TNG
1282;CTCP Tập đoàn bệnh viện TNH;4601039023;HOSE;TNH
1283;Công ty Cổ phần Tập đoàn Thành Nam;0101515686;HOSE;TNI
1284;CTCP XNK và Xây dựng công trình (Tranimexco);0301127673;UPCOM;TNM
1285;Công ty cổ phần Cảng Thị Nại;4100259282;UPCOM;TNP
1286;Công Ty Cổ Phần Thép Tấm Lá Thống Nhất;3500820408;UPCOM;TNS
1287;Công ty Cổ phần Tập đoàn TNT;0101881347;HOSE;TNT
1288;CTCP Nước sạch Thái Nguyên;4600100109;UPCOM;TNW
1289;CTCP Phân phối Top One;0106121967;UPCOM;TOP
1290;CTCP Dịch vụ biển Tân Cảng;0311638652;UPCOM;TOS
1291;Công ty Cổ phần Transimex Logistics;0307821849;HNX;TOT
1292;Công ty Cổ phần Cấp nước Trà Nóc - Ô Môn;1801548417;UPCOM;TOW
1293;Ngân hàng TMCP Tiên Phong;0102744865;HOSE;TPB
1294;CTCP Nhựa Tân Đại Hưng;0302760102;HOSE;TPC
1295;CTCP Tân Phú Việt Nam;0303640880;HNX;TPP
1296;Công ty Cổ phần Bến bãi Vận tải Sài Gòn;0301114089;UPCOM;TPS
1297;Công ty cổ phần THông Quảng Ninh;5700478344;UPCOM;TQN
